Intellectual property right :Patent

Indicator :4a- Patent publications by technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Viet Nam","VN","Total","3 - Telecommunications","","","","","","","","","","","","","","","1","","","1","1","6","4","3","1","3","1",
"Viet Nam","VN","Total","4 - Digital communication","","","","","","","","","","2","1","","","","2","3","2","1","1","1","3","3","10","7","9",
"Viet Nam","VN","Total","5 - Basic communication processes","","","","","","","","","","","","","","","","","","","","","1","","","","1",
"Viet Nam","VN","Total","6 - Computer technology","","","","","","","","1","1","1","","","1","","4","1","3","1","3","2","13","13","14","27","20",
"Viet Nam","VN","Total","7 - IT methods for management","","","","","","","","","","2","1","","","","4","3","2","","3","3","","2","2","3","5",
"Viet Nam","VN","Total","8 - Semiconductors","","","","","","1","","","","","","","","","","","","","","","2","1","","","",
"Viet Nam","VN","Total","9 - Optics","","","","","","1","","","","","","3","5","1","4","6","1","5","2","1","4","1","2","1","",
"Viet Nam","VN","Total","10 - Measurement","","","","","","","","","","","","","","","","1","","1","","3","4","3","3","6","8",
"Viet Nam","VN","Total","11 - Analysis of biological materials","","","","","","","","","","","","","","","","","","","","","","","1","","1",
"Viet Nam","VN","Total","12 - Control","","","","","","","","","","","1","","","","","","","2","2","","3","2","1","2","1",
"Viet Nam","VN","Total","13 - Medical technology","","","","","","","","","","","1","2","3","6","8","5","4","3","5","1","4","10","4","3","1",
"Viet Nam","VN","Total","14 - Organic fine chemistry","","","","","","","","","","","","","","1","1","1","","","1","1","1","2","","","",
"Viet Nam","VN","Total","15 - Biotechnology","","","","","","","","","","","1","","1","5","7","4","2","5","1","","2","4","1","3","3",
"Viet Nam","VN","Total","16 - Pharmaceuticals","","","","","","","","1","","","","1","","3","1","","","1","1","4","7","14","12","6","7",
"Viet Nam","VN","Total","17 - Macromolecular chemistry, polymers","","","","","","","","","","1","","","1","2","3","1","","","2","","1","","","","1",
"Viet Nam","VN","Total","18 - Food chemistry","","","","","","","","","","","1","","1","","","","","","1","2","6","11","2","4","1",
"Viet Nam","VN","Total","19 - Basic materials chemistry","1","","","","1","","1","","1","","","2","11","1","5","5","3","4","2","4","2","4","5","4","2",
"Viet Nam","VN","Total","20 - Materials, metallurgy","","","","","","","","1","1","1","1","1","2","","","","","2","1","2","5","1","2","2","3",
"Viet Nam","VN","Total","21 - Surface technology, coating","","","","","1","","","","","","","","4","","6","2","1","","1","","2","","2","","1",
"Viet Nam","VN","Total","22 - Micro-structural and nano-technology","","","","","","","","","","","","","","","1","2","","","","1","1","","","","",
"Viet Nam","VN","Total","23 - Chemical engineering","","","","","","","","","2","2","","1","","","","","","","1","2","5","5","4","7","3",
"Viet Nam","VN","Total","24 - Environmental technology","","1","","1","","1","","","","","","1","","","1","2","3","3","2","4","3","10","4","2","4",
"Viet Nam","VN","Total","25 - Handling","","","","","","","","4","1","","","","","","2","1","","1","1","1","2","1","3","5","3",
"Viet Nam","VN","Total","26 - Machine tools","","1","","3","1","1","","2","","","","1","1","1","1","","","1","","1","2","4","4","1","2",
"Viet Nam","VN","Total","27 - Engines, pumps, turbines","","","","1","1","3","1","2","2","3","1","3","3","","3","1","3","7","28","18","11","6","2","4","3",
"Viet Nam","VN","Total","28 - Textile and paper machines","","","","1","","","1","","","","2","6","4","3","7","6","3","4","1","","","2","10","1","1",
"Viet Nam","VN","Total","29 - Other special machines","","","","","","","","3","5","2","","","1","2","3","2","2","5","5","5","4","3","4","12","13",
"Viet Nam","VN","Total","30 - Thermal processes and apparatus","","","","","","","","","","","","","1","","","","","1","2","","3","3","1","1","2",
"Viet Nam","VN","Total","31 - Mechanical elements","","","","","","1","","1","","","","1","","1","2","","1","1","2","7","2","2","1","2","3",
"Viet Nam","VN","Total","32 - Transport","","","","","1","4","1","","1","1","2","","2","","3","","4","1","3","2","4","2","4","3","10",
"Viet Nam","VN","Total","33 - Furniture, games","","","","","","","","","","2","5","3","3","8","18","18","16","5","7","15","7","6","5","1","",
"Viet Nam","VN","Total","34 - Other consumer goods","","","","","1","1","","","","","1","","","","3","5","4","8","4","7","1","6","4","","1",
"Viet Nam","VN","Total","35 - Civil engineering","","","","","1","","","4","3","","","","4","3","8","6","2","2","4","8","4","9","4","5","3",
